identifier,section,parameter,value
K.lod1@senstadt,3D-Gebäudemodelle im Level of Detail 1 (LoD 1),Kurzbeschreibung,"Der Datensatz enthält flächendeckend die dreidimensionalen Gebäudemodelle des Landes Berlin im Level of Detail 1 (LoD1). Die Grundrisse der Gebäudemodelle entsprechen genau den Gebäudeumringen, wie sie im Liegenschaftskataster nachgewiesen sind."
K.lod1@senstadt,3D-Gebäudemodelle im Level of Detail 1 (LoD 1),Koordinatensysteme,EPSG:25833
K.lod1@senstadt,3D-Gebäudemodelle im Level of Detail 1 (LoD 1),Grafikformate,application/x-gmz
K.lod1@senstadt,3D-Gebäudemodelle im Level of Detail 1 (LoD 1),Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2)  der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.lod1@senstadt,3D-Gebäudemodelle im Level of Detail 1 (LoD 1),Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.lod1@senstadt,Technische Angaben,ATOM-Feed-Url,https://fbinter.stadt-berlin.de/fb/feed/senstadt/a_lod1
K.lod1@senstadt,Technische Angaben,Standard,ATOM-Feed
K.lod1@senstadt,Technische Angaben,Version,1.0
K.lod1@senstadt,Direkter Download des Datensatzes,Erläuterung,"
Blattschnittübersicht 2x2 Km
"
K.lod1@senstadt,Direkter Download des Datensatzes,LoD1,"
https://fbinter.stadt-berlin.de/fb/atom/LOD1/LoD1.zip
"
K.lod2@senstadt,3D-Gebäudemodelle im Level of Detail 2 (LoD 2),Kurzbeschreibung,"Der Datensatz enthält flächendeckend die dreidimensionalen Gebäudemodelle des Landes Berlin im Level of Detail 2 (LoD2). Die Grundrisse der Gebäudemodelle entsprechen genau den Gebäudeumringen, wie sie im Liegenschaftskataster nachgewiesen sind. Die Dachform eines Gebäudemodells entspricht einer generalisierten Standarddachform."
K.lod2@senstadt,3D-Gebäudemodelle im Level of Detail 2 (LoD 2),Koordinatensysteme,EPSG:25833
K.lod2@senstadt,3D-Gebäudemodelle im Level of Detail 2 (LoD 2),Grafikformate,image/tiff
K.lod2@senstadt,3D-Gebäudemodelle im Level of Detail 2 (LoD 2),Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2)  der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.lod2@senstadt,3D-Gebäudemodelle im Level of Detail 2 (LoD 2),Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.lod2@senstadt,Technische Angaben,ATOM-Feed-Url,https://fbinter.stadt-berlin.de/fb/feed/senstadt/a_lod2
K.lod2@senstadt,Technische Angaben,Standard,ATOM-Feed
K.lod2@senstadt,Technische Angaben,Version,1.0
K.lod2@senstadt,Direkter Download des Datensatzes,Erläuterung,"
Blattschnittübersicht 1x1 Km
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_370_5808.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_370_5809.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_371_5808.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_371_5809.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_371_5812.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_371_5813.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_371_5814.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5805.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5806.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5807.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5808.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5809.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5810.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5811.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5812.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5813.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5814.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5815.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5816.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5820.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5821.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5822.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_372_5823.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5806.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5807.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5808.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5809.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5810.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5811.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5812.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5813.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5814.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5815.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5816.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5820.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5821.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5822.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5823.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5824.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5827.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_373_5828.zip
"
K.lod2@senstadt,Direkter Download des Datensatzes,LoD2,"
https://fbinter.stadt-berlin.de/fb/atom/LOD2/LoD2_374_5806.zip
"
